,brexit_constituency,area_code,region,region_code,eu_contribution_gbp,project_eu_contribution_gbp,project_total_cost_gbp,spending_per_voter,electorate,votes_cast,valid_votes,pct_turnout,remain,leave,pct_remain,pct_leave,rejected_ballots,pct_rejected,spending_percentile
180,Kirklees,E08000034,Yorkshire and The Humber,E12000003,18704371.0,217808842.0,299913351.0,709.2879142636632,307081,217428,217240,70.8,98485,118755,45.33,54.67,188,0.09,61.55778894472362
181,Knowsley,E08000011,North West,E12000002,857387.0,8091349.0,7120406.0,72.47260562307989,111647,70937,70903,63.54,34345,36558,48.44,51.56,34,0.05,10.301507537688442
182,Lagan Valley,N06000009,Northern Ireland,N92000002,3989953.8,20748751.47,20035221.36,283.8833678118458,73089,48425,48414,66.25,22710,25704,46.91,53.09,11,0.02,38.19095477386934
183,Lambeth,E09000022,London,E12000007,13340800.0,382883074.0,590029559.0,1816.3333681214426,210800,142162,141924,67.44,111584,30340,78.62,21.38,238,0.17,80.15075376884423
184,Lancaster,E07000121,North West,E12000002,72060116.0,773632523.0,1002679804.0,7692.707578032556,100567,73098,73041,72.69,35732,37309,48.92,51.08,57,0.08,94.9748743718593
185,Leeds,E08000035,Yorkshire and The Humber,E12000003,265379004.65,2196670266.65,3093404194.0,4045.1874317951215,543033,387677,387337,71.39,194863,192474,50.31,49.69,340,0.09,89.19597989949749
186,Leicester,E06000016,East Midlands,E12000004,72308862.0,780906613.37,1016250377.95,3652.1853220247026,213819,139307,138972,65.15,70980,67992,51.08,48.92,335,0.24,87.1859296482412
187,Lewes,E07000063,South East,E12000008,484602.0,14775711.0,38973628.0,193.32850525985242,76428,59531,59482,77.89,30974,28508,52.07,47.93,49,0.08,26.884422110552762
188,Lewisham,E09000023,London,E12000007,27093356.0,94830024.0,104557974.0,480.11798657310374,197514,124637,124473,63.1,86955,37518,69.86,30.14,164,0.13,51.50753768844221
189,Lichfield,E07000194,West Midlands,E12000005,1296658.0,23509519.0,32248596.0,292.51974019833517,80369,63318,63278,78.78,26064,37214,41.19,58.81,40,0.06,39.19597989949749
190,Lincoln,E07000138,East Midlands,E12000004,26566207.0,168411062.01,201132573.36,2658.380483496709,63351,43928,43894,69.34,18902,24992,43.06,56.94,34,0.08,84.67336683417085
191,Liverpool,E08000012,North West,E12000002,202131796.12,1428077653.62,1946620417.02,4491.883763478064,317924,203728,203554,64.08,118453,85101,58.19,41.81,174,0.09,90.45226130653266
192,Luton,E06000032,East,E12000006,13873954.0,106744745.09,143934310.95,836.4788976742,127612,84616,84481,66.31,36708,47773,43.45,56.55,135,0.16,65.82914572864321
193,Maidstone,E07000110,South East,E12000008,11819340.0,19239946.61,30846007.68,164.0262119558731,117298,89173,89127,76.02,36762,52365,41.25,58.75,46,0.05,24.371859296482413
194,Maldon,E07000074,East,E12000006,4530447.0,10384732.0,16832714.0,211.6180384325393,49073,38850,38831,79.17,14529,24302,37.42,62.58,19,0.05,29.64824120603015
